gene,gen1,generation,rank_1,rank_2,rank_3,option_a,option_b,proposed,reason
Beaver,Baxlee,2,Burlodge,Lodgebite,,Burlodge,Lodgebite,,Burlodge sounds like a species and carries the beaver lodge cue. Lodgebite sounds like an attack.
Beaver,Baxlee,3,Barkdam,Breakwater,,Barkdam,Breakwater,,Barkdam is compact and beaver-specific. Breakwater is an ordinary structure name and also repeats an option in Gen 4.
Beaver,Baxlee,4,Bastimber,Timberdam,Breakwater,Breakwater,Timberdam,Bastimber,New Bastimber blends bastion and timber into a distinctive final name. Timberdam is clear but literal; Breakwater sounds like a structure.
Bovine,Boaz,2,Bodan,Pasturorn,,Bodan,Pasturorn,,Bodan is easy to say and continues Boaz. Pasturorn has an awkward ending.
Bovine,Boaz,3,Bovarn,Brayhorn,,Brayhorn,Brayhorn,Bovarn,"New Bovarn gives the line a crisp bovine identity. Both lists offer Brayhorn, whose bray cue suggests a donkey."
Bovine,Boaz,4,Bullforge,,,Bullforge,Bullforge,,Both lists offer Bullforge. Its forceful rhythm and unmistakable bull cue make a memorable final form.
Bear,Bromley,2,Braglan,Oakmaul,,Braglan,Oakmaul,,Braglan continues Bromley's sound and feels like a species. Oakmaul sounds more like a weapon.
Bear,Bromley,3,Brawnpaw,Grizzleback,,Brawnpaw,Grizzleback,,Brawnpaw is punchier and more playful. Grizzleback is readable but feels like a descriptive epithet.
Bear,Bromley,4,Borealord,,,Borealord,Borealord,,Both lists offer Borealord. The boreal and lord blend creates a grand final name with a clear woodland association.
Badger,Brynly,2,Bryntar,Deepburrow,,Bryntar,Deepburrow,,Bryntar retains Brynly's distinctive family sound. Deepburrow sounds like a location.
Badger,Brynly,3,Quarryfang,Bryndel,,Bryndel,Quarryfang,,Quarryfang gives the digging animal a tougher and more distinct identity. Bryndel barely advances the sound of Brynly.
Badger,Brynly,4,Brynmaul,Barrowking,Brynbur,Brynbur,Barrowking,Brynmaul,New Brynmaul restores the family stem with a strong finish. Barrowking is title-like and Brynbur sounds smaller than the preceding stage.
Chicken,Chalkly,2,Scratchlet,Charex,,Charex,Scratchlet,,Scratchlet immediately suggests a young scratching bird. Charex has less chicken identity and sounds too mature for this slot.
Chicken,Chalkly,3,Rousecomb,Chawcomb,,Chawcomb,Rousecomb,,Rousecomb connects the rooster's waking call with its comb. Chawcomb suggests chewing and is less natural to say.
Chicken,Chalkly,4,Chargecrest,,,Chargecrest,Chargecrest,,Both lists offer Chargecrest. Its crisp consonants and physical crest cue suit a mature combat bird.
Cheetah,Chantz,2,Chanzip,Quickstep,,Chanzip,Quickstep,,Chanzip is catchy and clearly connected to Chantz. Quickstep is an ordinary movement name.
Cheetah,Chantz,3,Chazrush,Trailrush,,Chazrush,Trailrush,,Chazrush retains a coined species identity and develops the family sound. Trailrush reads more like an ability.
Cheetah,Chantz,4,Chasebolt,,,Chasebolt,Chasebolt,,Both lists offer Chasebolt. Its compact pursuit and speed cues make an easily remembered final form.
Crab,Clause,2,Claven,Shorecutter,,Claven,Shorecutter,,Claven is concise and develops Clause naturally. Shorecutter sounds like a tool or role.
Crab,Clause,3,Clavice,Clawpinch,Pinchreef,Clawpinch,Pinchreef,Clavice,New Clavice combines the family stem with a vice-like grip. Clawpinch sounds like an action and Pinchreef like a location.
Crab,Clause,4,Clamprex,,,Clamprex,Clamprex,,Both lists offer Clamprex. The clamp and rex blend is immediately readable and gives the final crab a strong identity.
Crocodile,Claxton,2,Claxguard,Mudjaw,,Claxguard,Mudjaw,,Claxguard preserves Claxton's unusual family sound. Mudjaw could describe many unrelated animals.
Crocodile,Claxton,3,Clastodon,Scaleback,,Clastodon,Scaleback,,Clastodon has distinctive prehistoric weight. Scaleback is a generic reptile description.
Crocodile,Claxton,4,Clagator,,,Clagator,Clagator,,"Both lists offer Clagator. It is catchy and recognizably crocodilian, though the literal animal cue is alligator."
Camel,Cobie,2,Cobrune,Dunecarve,,Cobrune,Dunecarve,,Cobrune is smooth and clearly connected to Cobie. Dunecarve sounds like an action.
Camel,Cobie,3,Cobravan,Packspine,Cobback,Cobback,Packspine,Cobravan,New Cobravan blends Cobie and caravan into a fluent species name. Packspine is descriptive and Cobback is a blunt anatomy compound.
Camel,Cobie,4,Caravanguard,Cobguard,,Cobguard,Caravanguard,,Caravanguard combines caravan and vanguard into a distinctive mature identity. It is long but rhythmic; Cobguard is shorter and much vaguer.
Duck,Dalton,2,Quillwake,Darmor,,Darmor,Quillwake,,Quillwake combines plumage and swimming in a memorable image. Darmor gives little duck identity.
Duck,Dalton,3,Driftwing,Driftboost,,Driftboost,Driftwing,,Driftwing identifies a swimming bird. Driftboost sounds like a vehicle upgrade.
Duck,Dalton,4,Malladrift,Driftflare,,Driftflare,Driftflare,Malladrift,"New Malladrift blends mallard and drift into a clear duck name. Both lists offer Driftflare, which sounds more like an effect or move."
Dodo,Dart,2,Darvo,Plodder,,Darvo,Plodder,,Darvo is compact and clearly related to Dart. Plodder is a generic label with less individual identity.
Dodo,Dart,3,Darsen,Stumblecrest,,Darsen,Stumblecrest,,Darsen is easy to remember and say. Stumblecrest is cumbersome and makes clumsiness the entire identity.
Dodo,Dart,4,Doldrum,,,Doldrum,Doldrum,,Both lists offer Doldrum. Its dodo-like opening and heavier ending make a memorable humorous final form.
Dragon,Daxton,2,Daxrel,Wyverline,,Daxrel,Wyverline,,Daxrel retains Daxton's distinctive stem with a crisp rhythm. Wyverline is longer and more generic.
Dragon,Daxton,3,Drakstorm,,,Drakstorm,Drakstorm,,Both lists offer Drakstorm. Its clear dragon cue and decisive consonants give the advanced stage weight.
Dragon,Daxton,4,Drakspire,Drakford,,Drakford,Drakspire,,Drakspire suggests an imposing dragon silhouette. Drakford sounds more like a town or surname.
Giraffe,Django,2,Djaraf,Skyladder,Djarin,Djarin,Skyladder,Djaraf,New Djaraf connects Django and giraffe directly. Skyladder is an object metaphor and Djarin gives little animal identity.
Giraffe,Django,3,Giravelle,Duskveil,,Duskveil,Duskveil,Giravelle,"New Giravelle gives the giraffe stem a graceful species-name shape. Both lists offer Duskveil, which sounds like an effect."
Giraffe,Django,4,Giragant,Duskspirit,,Duskspirit,Duskspirit,Giragant,"New Giragant blends giraffe and gargantuan into a substantial final name. Both lists offer Duskspirit, a generic supernatural description."
Dolphin,Dottie,2,Dorsail,Slickfin,,Dorsail,Slickfin,,Dorsail turns the dorsal cue into a compact coined name. Slickfin is a more generic aquatic epithet.
Dolphin,Dottie,3,Dorsurge,Downtide,Surfturn,Downtide,Surfturn,Dorsurge,New Dorsurge develops Dorsail with a stronger aquatic ending. Downtide sounds like a water condition and Surfturn like a manoeuvre.
Dolphin,Dottie,4,Dorsonic,Dashpulse,,Dashpulse,Dashpulse,Dorsonic,"New Dorsonic connects dorsal and sonic with a natural dolphin association. Both lists offer Dashpulse, which sounds like an ability."
Deer,Drucie,2,Drustel,Leafstep,,Drustel,Leafstep,,Drustel is melodic and connected to Drucie. Leafstep sounds like a movement ability.
Deer,Drucie,3,Drethorn,Thornbloom,,Drethorn,Thornbloom,,Drethorn continues the family sound and suggests branching antlers. Thornbloom sounds primarily botanical.
Deer,Drucie,4,Druhart,Dewfrost,,Dewfrost,Dewfrost,Druhart,"New Druhart adds a mature deer cue to the family stem. Both lists offer Dewfrost, which sounds like a weather effect."
Elephant,Emyra,2,Emyrin,Stonegait,,Emyrin,Stonegait,,Emyrin is fluent and clearly related to Emyra. Stonegait is a descriptive movement label.
Elephant,Emyra,3,Tuskwarden,Emyrock,,Emyrock,Tuskwarden,,Tuskwarden supplies a strong elephant cue and mature presence. Emyrock feels mechanically assembled.
Elephant,Emyra,4,Empyrium,,,Empyrium,Empyrium,,Both lists offer Empyrium. Its expansive imperial sound gives the line an imposing and memorable final name.
Eagle,Everett,2,Evraze,Suncrest,,Evraze,Suncrest,,Evraze is distinctive and related to Everett. Suncrest is a more generic descriptive compound.
Eagle,Everett,3,Evralon,Everscout,Talonwatch,Everscout,Talonwatch,Evralon,New Evralon blends Everett's stem with talon into a species name. Everscout and Talonwatch sound more like scouting roles.
Eagle,Everett,4,Evershear,,,Evershear,Evershear,,Both lists offer Evershear. Its sharp ending and retained family stem make a coherent final form.
Frog,Fender,2,Fendrix,Pondskip,,Fendrix,Pondskip,,Fendrix is crisp and develops Fender naturally. Pondskip reads more like an action.
Frog,Fender,3,Fenstride,,,Fenstride,Fenstride,,Both lists offer Fenstride. Its wetland cue and clean two-beat rhythm suit an active frog evolution.
Frog,Fender,4,Fenward,,,Fenward,Fenward,,Both lists offer Fenward. It gives the shared Fen stem a compact and confident endpoint.
Fish,Fulure,2,Currenta,Fyrune,,Fyrune,Currenta,,Currenta is fluid and immediately aquatic. Fyrune suggests fire or runes without a clear fish cue.
Fish,Fulure,3,Brinelume,Fyrdark,,Fyrdark,Brinelume,,Brinelume is a memorable aquatic blend. Fyrdark feels like a generic dark upgrade with an awkward join.
Fish,Fulure,4,Fyrion,,,Fyrion,Fyrion,,"Both lists offer Fyrion. Its fluent three-syllable shape gives the line a distinct final name, although the aquatic link is weaker than Brinelume."
Flamingo,Fortuna,2,Forlina,Reedflair,,Forlina,Reedflair,,Forlina keeps Fortuna's graceful rhythm. Reedflair feels more like a description than a species.
Flamingo,Fortuna,3,Blushwing,Flarewing,,Flarewing,Blushwing,,Blushwing gives an immediate flamingo colour cue. Flarewing is broader and sounds more like a fire attack.
Flamingo,Fortuna,4,Flammirage,,,Flammirage,Flammirage,,Both lists offer Flammirage. The flamingo-like opening and mirage ending create a distinctive final-stage name.
Falcon,Fulton,2,Fulcrest,Windcrest,,Fulcrest,Windcrest,,Fulcrest retains Fulton's stem and adds an avian cue. Windcrest sounds like a place.
Falcon,Fulton,3,Faltalon,Talonstrike,,Faltalon,Talonstrike,,Faltalon clearly combines falcon and talon. Talonstrike sounds like the creature's attack.
Falcon,Fulton,4,Falcspear,,,Falcspear,Falcspear,,Both lists offer Falcspear. The compact falcon and spear blend evokes a diving silhouette with a strong ending.
Gorilla,Gideon,2,Gidrel,Knuckleholt,,Gidrel,Knuckleholt,,Gidrel is easy to say and preserves Gideon. Knuckleholt has a cumbersome place-name ending.
Gorilla,Gideon,3,Knuckor,Gidshot,Thunderdrome,Gidshot,Thunderdrome,Knuckor,New Knuckor turns the knuckle cue into a punchy species name. Gidshot suggests a projectile and Thunderdrome sounds like an arena.
Gorilla,Gideon,4,Granbaron,Grandbarrel,,Grandbarrel,Granbaron,,Granbaron has commanding rhythm and final-stage presence. Grandbarrel sounds like a container or joke.
Goat,Gunder,2,Gundrok,Cragstep,,Gundrok,Cragstep,,Gundrok develops Gunder with a punchy ending. Cragstep sounds like movement.
Goat,Gunder,3,Gundram,Rockhorn,,Gundram,Rockhorn,,Gundram keeps the family stem and adds a direct ram cue. Rockhorn is a more generic compound.
Goat,Gunder,4,Goralhorn,,,Goralhorn,Goralhorn,,Both lists offer Goralhorn. Its goat-family association and substantial rhythm make a clear final form.
Hippo,Hector,2,Heftin,Bogheft,,Heftin,Bogheft,,Heftin is catchy and easy to pronounce. Bogheft has a clumsy join and less character.
Hippo,Hector,3,Heftusk,Miresurge,Heftmud,Heftmud,Miresurge,Heftusk,New Heftusk connects the line's heft with hippo tusks. Miresurge sounds like an attack and Heftmud is drab.
Hippo,Hector,4,Heftorrent,Heftide,,Heftide,Heftorrent,,Heftorrent combines bulk and aquatic force in a stronger finale. Heftide is shorter but less distinctive.
Hawk,Holden,2,Holmar,Updraft,,Holmar,Updraft,,Holmar keeps Holden's stem and works as a species name. Updraft is an ordinary flight term.
Hawk,Holden,3,Holtalon,Highcliff,,Highcliff,Highcliff,Holtalon,"New Holtalon adds a clear bird cue to the family stem. Both lists offer Highcliff, which sounds like a location."
Hawk,Holden,4,Hawkrion,Headwind,,Headwind,Headwind,Hawkrion,"New Hawkrion is recognizably hawk-like with a strong final cadence. Both lists offer Headwind, an ordinary weather term."
Jellyfish,Jupiter,2,Jupril,Medusgleam,,Jupril,Medusgleam,,Jupril is light and fluent with clear Jupiter continuity. Medusgleam has an awkward consonant join.
Jellyfish,Jupiter,3,Jupilux,Voltish,,Jupilux,Voltish,,Jupilux gives the line a memorable light-based word shape. Voltish sounds unfinished and less connected to Jupiter.
Jellyfish,Jupiter,4,Juphera,,,Juphera,Ju­phera,,The options are the same name after removing U+00AD from option B. Juphera is an elegant endpoint; the selected spelling uses no hidden character.
Kangaroo,Keats,2,Keanar,Bounceward,,Keanar,Bounceward,,Keanar is pronounceable and retains Keats' opening. Bounceward sounds like a directional instruction.
Kangaroo,Keats,3,Kikaro,Kickbane,Boundrush,Kickbane,Boundrush,Kikaro,New Kikaro blends kick and kangaroo into a compact creature name. Kickbane and Boundrush sound more like combat abilities.
Kangaroo,Keats,4,Kangrath,Kangarift,,Kangrath,Kangarift,,Kangrath is tighter and more forceful. Kangarift has a distracting rift ending and weaker final impact.
Lion,Lennox,2,Lenvar,Sunpride,,Lenvar,Sunpride,,Lenvar develops Lennox smoothly. Sunpride sounds like a faction or group.
Lion,Lennox,3,Rumblemane,Lenpride,,Lenpride,Rumblemane,,Rumblemane has audible character and a direct lion cue. Lenpride feels flatter and less physical.
Lion,Lennox,4,Leonarch,Lenmane,,Lenmane,Lenmane,Leonarch,"New Leonarch blends lion and monarch into a commanding endpoint. Both lists offer Lenmane, which feels plainer and smaller after Rumblemane."
Lizard,Ludvik,2,Ludvex,Slatecreep,,Ludvex,Slatecreep,,Ludvex is a crisp continuation of Ludvik. Slatecreep sounds like a movement or habitat description.
Lizard,Ludvik,3,Ludscale,Ludvine,Crevicescale,Ludvine,Crevicescale,Ludscale,New Ludscale combines the family stem with a clear reptile cue. Ludvine suggests plants and Crevicescale is cumbersome.
Lizard,Ludvik,4,Lithscale,,,Lithscale,Lithscale,,"Both lists offer Lithscale. It is compact and clearly reptilian, with a firmer ending for the final form."
Monkey,Malaki,2,Malakor,Limbskip,,Malakor,Limbskip,,Malakor is memorable and clearly related to Malaki. Limbskip sounds like an action.
Monkey,Malaki,3,Malimbo,Boughrider,Malvern,Malvern,Boughrider,Malimbo,New Malimbo combines the family sound with limb and limbo associations. Boughrider reads like a title and Malvern gives little monkey identity.
Monkey,Malaki,4,Acrolaki,Maldrak,,Maldrak,Maldrak,Acrolaki,"New Acrolaki blends acrobat and Malaki into a distinct final name. Both lists offer Maldrak, whose ending sounds more like a dragon."
Mammoth,Minerva,2,Minervax,Permafrost,,Minervax,Permafrost,,Minervax preserves Minerva with a stronger ending. Permafrost is an ordinary environmental term.
Mammoth,Minerva,3,Minetusk,Glacetusk,,Minetusk,Glacetusk,,Minetusk has a clear tusk cue and stronger family continuity. Glacetusk has a less obvious pronunciation.
Mammoth,Minerva,4,Mammolith,Monolith,,Monolith,Monolith,Mammolith,"New Mammolith keeps the imposing monolith image and adds mammoth identity. Both lists offer Monolith, which is an ordinary object name."
Moose,Morfyn,2,Morfelk,Marshstride,,Morfelk,Marshstride,,Morfelk connects the family stem to an antlered-animal cue. Marshstride sounds like movement.
Moose,Morfyn,3,Morfrost,Frostbrow,,Morfrost,Frostbrow,,Morfrost has stronger family continuity and a cleaner species-name shape. Frostbrow feels more like an epithet.
Moose,Morfyn,4,Mornstag,,,Mornstag,Mornstag,,Both lists offer Mornstag. It is short and memorable with an immediate antlered-animal association.
Owl,Orson,2,Orslet,Orzrel,Nightblink,Orzrel,Nightblink,Orslet,New Orslet blends Orson and owlet into an easy two-beat name. Orzrel is awkward to pronounce and Nightblink sounds like an ability.
Owl,Orson,3,Orbrow,Quietbrow,,Orbrow,Quietbrow,,Orbrow is compact and evokes an owl's facial shape. Quietbrow is a less memorable description.
Owl,Orson,4,Orbisage,,,Orbisage,Orbisage,,Both lists offer Orbisage. It retains the family sound and gives the wise-owl association a distinctive final form.
Octopus,Ova,2,Inkravel,Ovarin,,Ovarin,Inkravel,,Inkravel combines ink with a tangled-arm association. Ovarin has a distracting anatomical or pharmaceutical sound.
Octopus,Ova,3,Ovacron,Gripvault,,Ovacron,Gripvault,,Ovacron has a convincing species-name shape and restores the Ova stem. Gripvault sounds like an ability.
Octopus,Ova,4,Ovanox,,,Ovanox,Ovanox,,Both lists offer Ovanox. Its smooth pronunciation and firm ending make a memorable endpoint for Ova.
Pig,Pezi,2,Pezmar,Rootsnout,,Pezmar,Rootsnout,,Pezmar preserves Pezi's recognizable sound and reads as a species. Rootsnout is a literal body-part description.
