prefix,name,description,image
MICT,Communication Tower,"No dropped calls here. Signal is strengthened as these towers offer a greater radius of communication on the moon. With cell service this good, teams are able to quickly and easily connect with each other.",https://ipfs.tothemoon.net/ipfs/QmQ6azwuataEd2qVBSzj7WsX7tSN2ip3V3viXpZFhGSBcJ
MICL,Creature Lab,"A home away from home for the majestic Moon Creatures on the Cryptonaut’s side of the moon. The facility holds any and all of the specifics needed for each breed. From all season terrains to grooming necessities; feed, train and bond with the community’s fun-loving friends.",https://ipfs.tothemoon.net/ipfs/QmTLsKBcASHurGkqaZuvQJzjjeFF37DeDS7oawjp7CAFmC
MIGS,Gas Station,"The refuel centre. With three discharge stations, the Gas Station is where Cryptonauts get GAS- fuel of the economy. Only the most hardworking Cryptonauts dedicate their working hours to this infrastructure; the process of retrieving GAS from the caves and transporting it to stations can be extremely strenuous.",https://ipfs.tothemoon.net/ipfs/QmaMZWCV2LiYgHXJLbtsofSiycygCcixQRyy7b7CSdrA3A
MIGZ,Gravity Zone,"Stronger. Faster. Gravity Zones are where teams train to increase their speed. This helps them cover more ground and make the most of each expedition to the ""Dark Side of the Moon"". This infrastructure acts as a gym for the community. Go hard or go home.",https://ipfs.tothemoon.net/ipfs/QmekR3it1c9ppGzoRDYT7vreept2ED5DSMMUzj3AjjEFoy
MIG,Greenhouse,"A place of transformation. This is where the Moon Seeds blossom into lush plants when provided with a sufficient amount of water. Plants are fuel to Cryptonauts and Creatures. With areas of both exposure and shelter for all types of plants, Greenhouses are the key for communities to flourish and prosper on the moon.",https://ipfs.tothemoon.net/ipfs/QmQPPAGiPzpEXmKjSkWaQJXkYQ9MEY8MMmWW7oNHVtkLPs
MIMF,Mining Facility,"The start of any successful Moon Team’s building plan. This infrastructure is a well-oiled machine running on Lithium Moon Rocks, as it maintains the economic system of TOTHEMOON UNIVERSE.",https://ipfs.tothemoon.net/ipfs/QmVoqyLghYsw5PVSr7kyfYeyA9Bt575pdJLdjeHeuapETX
MIMB,Moon Base HQ,"A moon mansion that would make the top of every Explorer’s “Must-Stay” list. The bases are designed to house the Cryptonauts. Found on every moon plot, Moon Bases provide housing for up to 10 Cryptonauts, but rest assured, there’s still plenty of space for each roomie.",https://ipfs.tothemoon.net/ipfs/QmS618oCH3kv8ThTivYLkREWzCzdk9r3nCyknvoLmBrUi5
MIO,Observatory,"The ""EYE"" of the moon. Aside from a stunning view, this high ground allows for the teams to explore the universe by telescope and expand their maps. Maybe a cryptonaut will be lucky enough to catch a glimpse of a Comet Drop!",https://ipfs.tothemoon.net/ipfs/QmTW7NysZD859tWLHXspfW7jixd8ym5Dd6ETgHM4FKFaDw
MIOC,Oxygen Center,"It’s tough being a human on the moon…needing oxygen and all. The Oxygen Tanks make movement on the “Dark Side of the Moon” possible, and the centres increase their efficiency. This is most useful for travel and exploration, so be sure to pay a visit. Your tank will thank you for it.",https://ipfs.tothemoon.net/ipfs/QmQi2Swcdkr3maMLCuikh5WfZBGCZLc11ySpSjA1zT2RRs
MIPP,Power Plant,"The brightest light on this side of the moon. Constantly charged and buzzing, the Electricity Plant supports the function of all community-made infrastructures. This voltaic epicentre runs on Electrical Mushrooms.",https://ipfs.tothemoon.net/ipfs/QmNSFynXhfnTAHjk94ppZS8Hxk5dhRx7Jcqg2uFFbC9kx7
MIRL,Research Lab,"A good Cryptonaut holds the thirst for knowledge and understands the importance of the advice, “never stop learning”. Research Labs are where these explorers go to expand their minds. By doing so, they are prepared for the journey to the “Dark Side of the Moon” and have the skills necessary to view and analyze other Moon Teams’ Observatories.",https://ipfs.tothemoon.net/ipfs/QmUdf5g4ykzYiyyZAwWVSZCb8iibw41yiVX1TMdhjA2GV8
MIR,Reservoir,This is not your average rural village well. Hundreds of litres of water are drilled each day and not a drop is wasted. Fresh water is essential for all walks of life and this sustainable facility supports that notion.,https://ipfs.tothemoon.net/ipfs/QmeNMfN8r62JzCnszdjbr8HygC11b1a1Zodr1VSRptb7gR
